,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,year,pros_clean,cons_clean,headline_clean,too_long_pro,too_long_con,Clean_pro_aspect_sentiments,Clean_con_aspect_sentiments,pro_aspect_sentiments,con_aspect_sentiments
50962,Her-Majesty-s-Revenue-and-Customs,2017-01-27, Higher Officer,Current Employee,"Croydon, England, England",3,5.0,4.0,,2.0,3.0,3.0,v,v,v,Higher Officer,"Good work life balance, excellent job security","Everything is sluggish, bad progression",2017,good work life balance excellent job security,everything be sluggish bad progression,high officer,False,False,"{'work-life balance': {1: 0.003633499, 2: 0.004729409, 3: 0.064666495, 4: 0.43358707, 5: 0.49338356, 'label': 5}, 'job security': {1: 0.0035122554, 2: 0.004566414, 3: 0.06301703, 4: 0.45784166, 5: 0.47106263, 'label': 5}}","{'growth': {1: 0.63756055, 2: 0.26631278, 3: 0.07468017, 4: 0.014613588, 5: 0.0068329354, 'label': 1}}","{'work-life balance': {1: 0.0038032306, 2: 0.005330024, 3: 0.07281173, 4: 0.45556808, 5: 0.46248692, 'label': 5}, 'job security': {1: 0.0035520513, 2: 0.0046945196, 3: 0.06244834, 4: 0.4626394, 5: 0.46666574, 'label': 5}}","{'growth': {1: 0.679174, 2: 0.26500177, 3: 0.047480367, 4: 0.005757531, 5: 0.002586327, 'label': 1}}"
76660,Ministry-of-Justice-UK,2021-05-08, QMCAO,"Current Employee, less than 1 year","Birmingham, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Salary,Good Salary and Overtime well paid.,It will be nice to have a salary review every year,2021,good salary and overtime well pay,it will be nice to have a salary review every year,salary,False,False,"{'pay': {1: 0.009645306, 2: 0.015024248, 3: 0.1574723, 4: 0.49051082, 5: 0.32734728, 'label': 4}, 'work-life balance': {1: 0.007843894, 2: 0.014436815, 3: 0.18047775, 4: 0.5297293, 5: 0.26751226, 'label': 4}}","{'pay': {1: 0.28515625, 2: 0.23827367, 3: 0.25789276, 4: 0.15153244, 5: 0.06714489, 'label': 1}, 'performance feedback': {1: 0.25083125, 2: 0.2767232, 3: 0.28093016, 4: 0.14286907, 5: 0.048646312, 'label': 3}}","{'pay': {1: 0.0038804899, 2: 0.0058754524, 3: 0.08599419, 4: 0.4879811, 5: 0.41626877, 'label': 4}, 'work-life balance': {1: 0.0034026979, 2: 0.0064214147, 3: 0.115761004, 4: 0.55368125, 5: 0.32073364, 'label': 4}}","{'pay': {1: 0.28515625, 2: 0.23827367, 3: 0.25789276, 4: 0.15153244, 5: 0.06714489, 'label': 1}, 'performance feedback': {1: 0.25083125, 2: 0.2767232, 3: 0.28093016, 4: 0.14286907, 5: 0.048646312, 'label': 3}}"
55740,J-P-Morgan,2018-10-22, Finance Analyst,Current Employee,"London, England, England",1,1.0,4.0,,1.0,2.0,5.0,x,v,v,Poor opportunities for growth & mobility,"Good brand name & reputation. 
Good senior management.","Very long working hours. 
Poor work life balance. 
Pay way below market rate. 
Outdated, useless performance development system. 
Poor mobility. 
Lots of bureaucracy. 
Incompetent managers.",2018,good brand name reputation good senior management,very long work hour poor work life balance pay way below market rate outdated useless performance development system poor mobility lot of bureaucracy incompetent manager,poor opportunity for growth mobility,False,False,"{'management': {1: 0.01021251, 2: 0.015005388, 3: 0.1474799, 4: 0.4823226, 5: 0.34497955, 'label': 4}}","{'pay': {1: 0.7290994, 2: 0.23892209, 3: 0.028418945, 4: 0.0024990214, 5: 0.0010606037, 'label': 1}, 'work-life balance': {1: 0.7190623, 2: 0.24851753, 3: 0.028906206, 4: 0.0024838743, 5: 0.0010299787, 'label': 1}, 'growth': {1: 0.6948489, 2: 0.27052903, 3: 0.031074766, 4: 0.002536819, 5: 0.0010104338, 'label': 1}, 'travel': {1: 0.71529406, 2: 0.25192094, 3: 0.029376835, 4: 0.0024348006, 5: 0.0009733292, 'label': 1}, 'performance feedback': {1: 0.7085382, 2: 0.25656253, 3: 0.03107514, 4: 0.002744322, 5: 0.0010798575, 'label': 1}}","{'management': {1: 0.004124486, 2: 0.0069343876, 3: 0.09958823, 4: 0.5053082, 5: 0.3840447, 'label': 4}}","{'pay': {1: 0.766959, 2: 0.21980985, 3: 0.011698258, 4: 0.0009569339, 5: 0.0005760328, 'label': 1}, 'management': {1: 0.77592254, 2: 0.21208839, 3: 0.010621794, 4: 0.00084348733, 5: 0.0005237314, 'label': 1}, 'work-life balance': {1: 0.76858467, 2: 0.2182802, 3: 0.011688325, 4: 0.00090870936, 5: 0.00053805887, 'label': 1}, 'growth': {1: 0.74716026, 2: 0.23945151, 3: 0.011982631, 4: 0.0008856878, 5: 0.00051989645, 'label': 1}, 'travel': {1: 0.7618795, 2: 0.22534704, 3: 0.011353546, 4: 0.0008920535, 5: 0.00052785093, 'label': 1}, 'performance feedback': {1: 0.7595869, 2: 0.22683159, 3: 0.012013545, 4: 0.000987365, 5: 0.0005806233, 'label': 1}}"
88968,Primark,2018-02-07, Retail Assistant,"Current Employee, more than 3 years","Watford, East of England, England, England",3,4.0,2.0,,2.0,1.0,2.0,v,r,r,Casual Stress,"Plenty of Overtime oppurtunities
Turn up looking however you want, as long as you're in uniform","Supervisors & Management care little for staff
Promotion chances are extremely slim
Often kept well past contracted hours
Health & Safety often overlooked",2018,plenty of overtime oppurtunitie turn up look however you want as long as you be in uniform,supervisor management care little for staff promotion chance be extremely slim often keep well past contract hour health safety often overlook,casual stress,False,False,"{'work-life balance': {1: 0.037324384, 2: 0.10183285, 3: 0.46352574, 4: 0.33968192, 5: 0.057635114, 'label': 3}}","{'management': {1: 0.29053965, 2: 0.41196537, 3: 0.23085369, 4: 0.05242587, 5: 0.014215299, 'label': 2}, 'growth': {1: 0.23174825, 2: 0.42722744, 3: 0.26329345, 4: 0.062748894, 5: 0.014982025, 'label': 2}}","{'work-life balance': {1: 0.03170614, 2: 0.09191827, 3: 0.44232076, 4: 0.36996743, 5: 0.06408732, 'label': 3}}","{'management': {1: 0.31756288, 2: 0.45235044, 3: 0.19030346, 4: 0.031339925, 5: 0.008443382, 'label': 2}, 'work-life balance': {1: 0.23841298, 2: 0.44619867, 3: 0.24817277, 4: 0.053320482, 5: 0.0138951335, 'label': 2}, 'growth': {1: 0.2681697, 2: 0.46969604, 3: 0.21491425, 4: 0.037941735, 5: 0.009278278, 'label': 2}}"
84888,Northern-Gas-and-Power,2020-10-19, Business Account Manager,"Current Employee, less than 1 year","Sunderland, North East England, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great Company,"Great work/life balance, constant incentives, full Christmas off PAID!!",Can't fault anything about this company.,2020,great work life balance constant incentive full christmas off pay,can not fault anything about this company,great company,False,False,"{'pay': {1: 0.0049367812, 2: 0.005225334, 3: 0.0534797, 4: 0.38667536, 5: 0.54968286, 'label': 5}, 'work-life balance': {1: 0.0072745667, 2: 0.0068644118, 3: 0.053352904, 4: 0.33589637, 5: 0.59661174, 'label': 5}}",{},"{'work-life balance': {1: 0.005389357, 2: 0.005285047, 3: 0.040342245, 4: 0.29506382, 5: 0.6539195, 'label': 5}}",{}
115491,University-of-Cambridge,2017-06-27, Intern,Former Employee,"Cambridge, East of England, England, England",5,5.0,5.0,,3.0,5.0,5.0,v,v,v,Really great place to work,"interesting work, given responsibility from the start and working hours are nice.",Can't think of any reasons really,2017,interesting work give responsibility from the start and working hour be nice,can not think of any reason really,really great place to work,False,False,"{'job role clarity': {1: 0.006022185, 2: 0.013269335, 3: 0.20442046, 4: 0.5736594, 5: 0.20262855, 'label': 4}}",{},"{'work-life balance': {1: 0.0024810794, 2: 0.0063396683, 3: 0.17718239, 4: 0.6292442, 5: 0.18475269, 'label': 4}, 'job role clarity': {1: 0.0025330712, 2: 0.0066293506, 3: 0.1736081, 4: 0.6334917, 5: 0.1837378, 'label': 4}}",{}
39836,EY,2017-05-26, Audit Senior,"Current Employee, more than 1 year","Southampton, England, England",5,3.0,5.0,,3.0,4.0,5.0,v,v,v,Audit Senior,Well know brand. Good learning experience. Opens up opportunities in the market,Long hours. Work life balance takes strain. Stressful job with tight deadlines. No overtime payment,2017,well know brand good learning experience open up opportunity in the market,long hour work life balance take strain stressful job with tight deadline no overtime payment,audit senior,False,False,"{'growth': {1: 0.005346661, 2: 0.0074704797, 3: 0.09461548, 4: 0.48110774, 5: 0.41145968, 'label': 4}}","{'pay': {1: 0.5097594, 2: 0.32174292, 3: 0.116499655, 4: 0.03422314, 5: 0.017774846, 'label': 1}, 'work-life balance': {1: 0.5265158, 2: 0.32365718, 3: 0.10563396, 4: 0.029097144, 5: 0.015095907, 'label': 1}, 'stress & pressure': {1: 0.45771375, 2: 0.31084657, 3: 0.13704805, 4: 0.058864158, 5: 0.035527505, 'label': 1}}",{},"{'pay': {1: 0.4421998, 2: 0.4259336, 3: 0.10497438, 4: 0.01880208, 5: 0.008090163, 'label': 1}, 'work-life balance': {1: 0.44682392, 2: 0.4222748, 3: 0.10301858, 4: 0.019224847, 5: 0.008657932, 'label': 1}, 'stress & pressure': {1: 0.43243355, 2: 0.40754315, 3: 0.113617174, 4: 0.030502036, 5: 0.015904153, 'label': 1}}"
99665,Savills,2021-05-08, Property Manager,"Current Employee, more than 1 year","Manchester City Centre, England, England",5,,,,,,,o,o,o,ACE,"n/a company is great , amazing",n/a not a bad word to say,2021,n a company be great amazing,n a not a bad word to say,ace,False,False,{},{},{},{}
28089,Citi,2016-01-12, ,Current Employee,"London, England, England",4,2.0,4.0,,4.0,3.0,2.0,v,v,v,Alot of opportunities,"Dynamic environment, flexible working arrangements","overloaded with work, political, deadline driven, too much cost cutting",2016,dynamic environment flexible work arrangement,overload with work political deadline drive too much cost cutting,alot of opportunity,False,False,"{'culture': {1: 0.008802525, 2: 0.016856331, 3: 0.20137857, 4: 0.52679735, 5: 0.24616519, 'label': 4}, 'flexibility': {1: 0.012414736, 2: 0.023490008, 3: 0.21064085, 4: 0.5193263, 5: 0.23412807, 'label': 4}}","{'stress & pressure': {1: 0.58470476, 2: 0.32247522, 3: 0.0746604, 4: 0.012740025, 5: 0.0054196306, 'label': 1}}","{'culture': {1: 0.006370583, 2: 0.0119736465, 3: 0.16196373, 4: 0.53973657, 5: 0.27995548, 'label': 4}, 'flexibility': {1: 0.008587114, 2: 0.016313655, 3: 0.16617136, 4: 0.54214656, 5: 0.2667813, 'label': 4}}","{'stress & pressure': {1: 0.67011154, 2: 0.27538028, 3: 0.043799687, 4: 0.007026822, 5: 0.0036816983, 'label': 1}}"
56073,J-P-Morgan,2020-10-22, Vice President Product Development,"Current Employee, more than 1 year","London, England, England",3,1.0,3.0,4.0,4.0,3.0,4.0,o,o,o,"High opportunity, high workload","Decent pay, lots of opportunity, safe","High pressure, very high workload",2020,decent pay lot of opportunity safe,high pressure very high workload,high opportunity high workload,False,False,"{'pay': {1: 0.008312016, 2: 0.017319119, 3: 0.20568644, 4: 0.494575, 5: 0.27410746, 'label': 4}, 'growth': {1: 0.007066797, 2: 0.0146856, 3: 0.1853837, 4: 0.51778424, 5: 0.27507967, 'label': 4}}","{'stress & pressure': {1: 0.42554602, 2: 0.36226413, 3: 0.1545316, 4: 0.03971407, 5: 0.01794428, 'label': 1}}","{'pay': {1: 0.0047469507, 2: 0.010148915, 3: 0.14326213, 4: 0.52686614, 5: 0.31497583, 'label': 4}, 'growth': {1: 0.0041683107, 2: 0.00853161, 3: 0.122168064, 4: 0.53656226, 5: 0.32856974, 'label': 4}}","{'stress & pressure': {1: 0.44665012, 2: 0.35868117, 3: 0.14118437, 4: 0.036206245, 5: 0.017278062, 'label': 1}}"
57044,J-Sainsbury,2017-03-02, Checkout,Current Employee,"Gateshead, England, England",4,5.0,5.0,,4.0,4.0,5.0,o,o,o,Checkout,"Comprehensive training
Not so difficult job
great for part-time",checkouts can be a bit boring,2017,comprehensive training not so difficult job great for part time,checkout can be a bit boring,checkout,False,False,"{'training & onboarding': {1: 0.0049387747, 2: 0.01297706, 3: 0.19593337, 4: 0.5624332, 5: 0.22371764, 'label': 4}}",{},"{'training & onboarding': {1: 0.0045795017, 2: 0.01178384, 3: 0.19084112, 4: 0.5700443, 5: 0.22275122, 'label': 4}}",{}
35806,Deloitte,2021-01-28, QA Automation Engineer,Current Employee,"London, England, England",5,,,,,,,o,o,o,Work culture,Very good flexible work culture,Salary is little less for the amount of work.,2021,very good flexible work culture,salary be little less for the amount of work,work culture,False,False,"{'culture': {1: 0.004305338, 2: 0.0072340635, 3: 0.090495616, 4: 0.52324706, 5: 0.37471792, 'label': 4}, 'flexibility': {1: 0.0048706145, 2: 0.008881315, 3: 0.0972538, 4: 0.5318219, 5: 0.3571724, 'label': 4}}","{'pay': {1: 0.40787336, 2: 0.334742, 3: 0.19831553, 4: 0.044049103, 5: 0.015020011, 'label': 1}}","{'culture': {1: 0.004305338, 2: 0.0072340635, 3: 0.090495616, 4: 0.52324706, 5: 0.37471792, 'label': 4}, 'flexibility': {1: 0.0048706145, 2: 0.008881315, 3: 0.0972538, 4: 0.5318219, 5: 0.3571724, 'label': 4}}","{'pay': {1: 0.39123437, 2: 0.38584635, 3: 0.19062582, 4: 0.024946887, 5: 0.0073465575, 'label': 1}}"
123472,Waitrose,2021-01-20, Supermarket Assistant,Current Employee,"Esher, England, England",5,,,,,,,o,o,o,Very fair,"The managers are great and friendly, excellent social life.",Sexist in what you are allowed to be trained on.,2021,the manager be great and friendly excellent social life,sexist in what you be allow to be train on,very fair,False,False,{},{},"{'management': {1: 0.003586942, 2: 0.0043221456, 3: 0.04183466, 4: 0.3124049, 5: 0.63785136, 'label': 5}}",{}
11335,BBC,2020-07-28, Content Producer,Current Employee,"Manchester, England, England",4,,,,,,,o,o,o,"If you love the content, you'll love the job.","If you're creative and full of ideas, it's a great place to put plans into action.
Digital production gives you more freedom and control than TV production can, as long as you work very hard.","Your ideas can be limited and hard to keep on top of industry trends.
Can be hard to progress
Can be very formal and corporate",2020,if you be creative and full of idea it be a great place to put plan into action digital production give you more freedom and control than tv production can as long as you work very hard,your idea can be limited and hard to keep on top of industry trend can be hard to progress can be very formal and corporate,if you love the content you will love the job,False,False,{},"{'growth': {1: 0.26495695, 2: 0.47182226, 3: 0.219238, 4: 0.03475366, 5: 0.0092290975, 'label': 2}}",{},"{'growth': {1: 0.24288054, 2: 0.5077149, 3: 0.21380675, 4: 0.028342685, 5: 0.0072550224, 'label': 2}}"
28614,Citizens-Advice,2017-06-26, Manager,"Current Employee, more than 10 years","London, England, England",4,5.0,4.0,,4.0,4.0,4.0,v,v,v,Overall a good place to work,"Good salary for voluntary sector
Flexible working in some teams
Good terms inc holiday, career breaks, maternity pay","London-centric
Disconnect between executive and workforce",2017,good salary for voluntary sector flexible working in some team good term inc holiday career break maternity pay,london centric disconnect between executive and workforce,overall a good place to work,False,False,"{'pay': {1: 0.042394284, 2: 0.06910777, 3: 0.32423386, 4: 0.42247948, 5: 0.1417846, 'label': 4}, 'work-life balance': {1: 0.034478605, 2: 0.0717598, 3: 0.3721112, 4: 0.41416055, 5: 0.10748984, 'label': 4}, 'growth': {1: 0.033763558, 2: 0.06060885, 3: 0.3055635, 4: 0.45043415, 5: 0.14962994, 'label': 4}, 'flexibility': {1: 0.04910189, 2: 0.08971386, 3: 0.33909902, 4: 0.39691094, 5: 0.12517421, 'label': 4}, 'teamwork & collaboration': {1: 0.03436629, 2: 0.061407205, 3: 0.31157306, 4: 0.44981152, 5: 0.14284192, 'label': 4}}",{},"{'pay': {1: 0.022161437, 2: 0.043278202, 3: 0.2919841, 4: 0.48081803, 5: 0.16175821, 'label': 4}, 'work-life balance': {1: 0.018034771, 2: 0.044329837, 3: 0.339892, 4: 0.47485647, 5: 0.12288696, 'label': 4}, 'growth': {1: 0.018866943, 2: 0.039674606, 3: 0.27346423, 4: 0.49886984, 5: 0.16912436, 'label': 4}, 'flexibility': {1: 0.027624404, 2: 0.060686607, 3: 0.31402004, 4: 0.454541, 5: 0.14312792, 'label': 4}, 'teamwork & collaboration': {1: 0.018017352, 2: 0.037900887, 3: 0.2770852, 4: 0.50617886, 5: 0.1608177, 'label': 4}}",{}
94743,River-Island-Clothing,2020-09-26, Customer Assistant,"Former Employee, more than 1 year","Leicester, England, England",4,4.0,3.0,,3.0,2.0,3.0,o,o,o,Positive Experience,Given great level of trust and responsibility,Often expected to work extra hours,2020,give great level of trust and responsibility,often expect to work extra hour,positive experience,False,False,"{'job role clarity': {1: 0.004115417, 2: 0.0063065668, 3: 0.09042976, 4: 0.4751217, 5: 0.42402658, 'label': 4}}",{},"{'job role clarity': {1: 0.0063423174, 2: 0.010717829, 3: 0.14033975, 4: 0.50495684, 5: 0.33764327, 'label': 4}}","{'work-life balance': {1: 0.20287818, 2: 0.35783172, 3: 0.32278416, 4: 0.091385014, 5: 0.025120998, 'label': 2}}"
