,firm,pros,cons,pros_clean_min,pros_clean_lemma_only,pros_clean_with_stopwords,pros_clean_with_symspell,cons_clean_min,cons_clean_lemma_only,cons_clean_with_stopwords,cons_clean_with_symspell,min_pro_aspect_sentiments,lemma_pro_aspect_sentiments,Stopword_pro_aspect_sentiments,Symspell_pro_aspect_sentiments,min_con_aspect_sentiments,lemma_con_aspect_sentiments,Stopword_con_aspect_sentiments,Symspell_con_aspect_sentiments
19939,Burberry,good benefits for health insurance,HR are not great support,good benefits for health insurance,good benefit for health insurance,good benefit health insurance,good benefit health insurance,HR are not great support,hr be not great support,hr great support,great support,"{'perks & benefits': {1: 0.008888523, 2: 0.01354321, 3: 0.15107214, 4: 0.51177585, 5: 0.31472027, 'label': 4}}","{'perks & benefits': {1: 0.009348304, 2: 0.013420627, 3: 0.15511233, 4: 0.5114262, 5: 0.31069252, 'label': 4}}","{'perks & benefits': {1: 0.013613193, 2: 0.018104523, 3: 0.17798318, 4: 0.48375067, 5: 0.30654845, 'label': 4}}","{'perks & benefits': {1: 0.013613193, 2: 0.018104523, 3: 0.17798318, 4: 0.48375067, 5: 0.30654845, 'label': 4}}","{'hr & recruitment': {1: 0.3902098, 2: 0.4132662, 3: 0.17173535, 4: 0.020576937, 5: 0.0042117084, 'label': 2}, 'tools & resources': {1: 0.33737436, 2: 0.4382206, 3: 0.19620782, 4: 0.02400644, 5: 0.004190786, 'label': 2}}","{'hr & recruitment': {1: 0.3723501, 2: 0.4064039, 3: 0.19123521, 4: 0.024750153, 5: 0.005260611, 'label': 2}, 'tools & resources': {1: 0.32225853, 2: 0.4279861, 3: 0.21596903, 4: 0.028474616, 5: 0.0053116595, 'label': 2}}","{'hr & recruitment': {1: 0.05448169, 2: 0.049595486, 3: 0.12007211, 4: 0.30134642, 5: 0.47450432, 'label': 5}, 'tools & resources': {1: 0.027750388, 2: 0.03334863, 3: 0.10202695, 4: 0.34411496, 5: 0.49275905, 'label': 5}}","{'tools & resources': {1: 0.02774281, 2: 0.03446613, 3: 0.10872543, 4: 0.37289146, 5: 0.45617422, 'label': 5}}"
71794,Royal Mail,Easy job and lots of overtime,Boring repetitive and lack of breaks and facilities,Easy job and lots of overtime,easy job and lot of overtime,easy job lot overtime,easy job lot overtime,Boring repetitive and lack of breaks and facilities,bore repetitive and lack of break and facility,bore repetitive lack break facility,bore repetitive lack break facility,"{'work-life balance': {1: 0.007826864, 2: 0.016205518, 3: 0.18943138, 4: 0.5331033, 5: 0.25343296, 'label': 4}}","{'work-life balance': {1: 0.008505185, 2: 0.016607039, 3: 0.19058366, 4: 0.52403975, 5: 0.26026434, 'label': 4}}","{'work-life balance': {1: 0.012201449, 2: 0.023221219, 3: 0.2180628, 4: 0.49777448, 5: 0.24874012, 'label': 4}}","{'work-life balance': {1: 0.012201449, 2: 0.023221219, 3: 0.2180628, 4: 0.49777448, 5: 0.24874012, 'label': 4}}","{'office & location': {1: 0.519366, 2: 0.39509776, 3: 0.078780554, 4: 0.0054697124, 5: 0.0012859636, 'label': 1}, 'work-life balance': {1: 0.45744535, 2: 0.44790846, 3: 0.088396564, 4: 0.0051202117, 5: 0.00112946, 'label': 1}}","{'work-life balance': {1: 0.47307187, 2: 0.3732769, 3: 0.12881117, 4: 0.01897562, 5: 0.0058645126, 'label': 1}}","{'work-life balance': {1: 0.44670525, 2: 0.34206653, 3: 0.16725375, 4: 0.033567175, 5: 0.010407297, 'label': 1}}","{'work-life balance': {1: 0.44670525, 2: 0.34206653, 3: 0.16725375, 4: 0.033567175, 5: 0.010407297, 'label': 1}}"
42112,HSBC Holdings,"You might get to learn a lot if you are at a right branch under a right branch manager.

At this level, absolutely no Pro's.","No support from seniors
They say its all about service but it is still about sales.
Training is regarded too high, but there is no track of are employees really learning.
Branches that are rated highest, always remain at that position. 
You might have been 140% of your targets but if there are 5 others with 145%, you will be told you need to perform better, so we cannot give you bonus this year.
Not at all employee friendly.","You might get to learn a lot if you are at a right branch under a right branch manager.  At this level, absolutely no Pro's.",you might get to learn a lot if you be at a right branch under a right branch manager at this level absolutely no pro 's,learn lot right branch right branch manager level absolutely pro,learn lot right branch right branch manager level absolutely pro,"No support from seniors They say its all about service but it is still about sales. Training is regarded too high, but there is no track of are employees really learning. Branches that are rated highest, always remain at that position.  You might have been 140% of your targets but if there are 5 others with 145%, you will be told you need to perform better, so we cannot give you bonus this year. Not at all employee friendly.",no support from senior they say its all about service but it be still about sale training be regard too high but there be no track of be employee really learn branch that be rate high always remain at that position you might have be 140 of your target but if there be 5 other with 145 you will be tell you need to perform well so we can not give you bonus this year not at all employee friendly,support senior service sale training regard high track employee learn branch rate high remain position 140 target 5 145 tell need perform well bonus year employee friendly,support senior service sale train regard high track employee learn branch rate high remain position target tell need perform well bonus year employee friendly,"{'growth & learning': {1: 0.15801404, 2: 0.17413321, 3: 0.26285607, 4: 0.26085234, 5: 0.14414437, 'label': 3}}","{'growth & learning': {1: 0.14838439, 2: 0.1503589, 3: 0.26747972, 4: 0.27621952, 5: 0.15755744, 'label': 4}}","{'growth & learning': {1: 0.023855528, 2: 0.026877927, 3: 0.10356398, 4: 0.36178863, 5: 0.4839139, 'label': 5}}","{'growth & learning': {1: 0.023855528, 2: 0.026877927, 3: 0.10356398, 4: 0.36178863, 5: 0.4839139, 'label': 5}}","{'growth & learning': {1: 0.47744286, 2: 0.4235504, 3: 0.09085205, 4: 0.006629415, 5: 0.001525299, 'label': 1}, 'hr & recruitment': {1: 0.47024283, 2: 0.43047833, 3: 0.09130097, 4: 0.006523484, 5: 0.0014543532, 'label': 1}, 'pay': {1: 0.5453412, 2: 0.37104422, 3: 0.07624255, 4: 0.005872284, 5: 0.0014998062, 'label': 1}, 'performance feedback': {1: 0.4729268, 2: 0.42114338, 3: 0.09705409, 4: 0.0072848387, 5: 0.001590888, 'label': 1}, 'tools & resources': {1: 0.49859634, 2: 0.41109052, 3: 0.08266692, 4: 0.006180701, 5: 0.0014656426, 'label': 1}}","{'growth & learning': {1: 0.5232714, 2: 0.32328072, 3: 0.13084795, 4: 0.017704958, 5: 0.004895058, 'label': 1}, 'hr & recruitment': {1: 0.53077525, 2: 0.31520906, 3: 0.1305799, 4: 0.018341357, 5: 0.005094392, 'label': 1}, 'pay': {1: 0.5883503, 2: 0.28575414, 3: 0.10829293, 4: 0.013597362, 5: 0.004005294, 'label': 1}, 'tools & resources': {1: 0.5590305, 2: 0.3066427, 3: 0.11486761, 4: 0.015191064, 5: 0.004268063, 'label': 1}}","{'growth & learning': {1: 0.18574236, 2: 0.1742603, 3: 0.25043675, 4: 0.23177241, 5: 0.1577882, 'label': 3}, 'hr & recruitment': {1: 0.194785, 2: 0.17650685, 3: 0.24625434, 4: 0.2236442, 5: 0.15880956, 'label': 3}, 'pay': {1: 0.26013738, 2: 0.18639249, 3: 0.23439874, 4: 0.18752146, 5: 0.13154997, 'label': 1}, 'tools & resources': {1: 0.19836713, 2: 0.18016219, 3: 0.24900077, 4: 0.22656366, 5: 0.1459063, 'label': 3}}","{'growth & learning': {1: 0.18825148, 2: 0.19622004, 3: 0.27091843, 4: 0.21973905, 5: 0.124870956, 'label': 3}, 'pay': {1: 0.25535426, 2: 0.20301497, 3: 0.25157252, 4: 0.18222985, 5: 0.107828476, 'label': 1}, 'tools & resources': {1: 0.20739768, 2: 0.20737143, 3: 0.26733038, 4: 0.20697467, 5: 0.110925786, 'label': 3}}"
30862,Deloitte,"Staff, varied experience, salary, global brand is recognisable to other employers",Hours can be long based on project,"Staff, varied experience, salary, global brand is recognisable to other employers",staff varied experience salary global brand be recognisable to other employer,staff varied experience salary global brand recognisable employer,staff varied experience salary global brand recognisable employer,Hours can be long based on project,hour can be long base on project,hour long base project,hour long base project,"{'hr & recruitment': {1: 0.010960199, 2: 0.016491931, 3: 0.12938815, 4: 0.4530926, 5: 0.39006713, 'label': 4}, 'pay': {1: 0.013081637, 2: 0.017564604, 3: 0.12884983, 4: 0.42908648, 5: 0.41141742, 'label': 4}}","{'hr & recruitment': {1: 0.020626832, 2: 0.033379357, 3: 0.20861714, 4: 0.4472778, 5: 0.29009882, 'label': 4}, 'pay': {1: 0.025377253, 2: 0.038889725, 3: 0.23010176, 4: 0.4270773, 5: 0.278554, 'label': 4}}","{'hr & recruitment': {1: 0.013792229, 2: 0.017742006, 3: 0.13945884, 4: 0.4080932, 5: 0.4209138, 'label': 5}, 'pay': {1: 0.016705455, 2: 0.01894682, 3: 0.13665685, 4: 0.3790586, 5: 0.44863227, 'label': 5}}","{'hr & recruitment': {1: 0.013792229, 2: 0.017742006, 3: 0.13945884, 4: 0.4080932, 5: 0.4209138, 'label': 5}, 'pay': {1: 0.016705455, 2: 0.01894682, 3: 0.13665685, 4: 0.3790586, 5: 0.44863227, 'label': 5}}","{'work-life balance': {1: 0.22315527, 2: 0.32431537, 3: 0.3061311, 4: 0.11129638, 5: 0.035101958, 'label': 2}}",{},{},{}
31916,Deutsche Bank,All good so far here.,Nothing bad so far here,All good so far here.,all good so far here,good far,good far,Nothing bad so far here,nothing bad so far here,bad far,bad far,{},{},{},{},{},{},{},{}
79254,The Range,"1) Some friendly hardworking colleagues
2) Management do as well as they can in the constant face of adversity","1) The pay is below average for the role I was in, in addition bar one or two the store management team were grossly inexperienced.
2) The senior managers demanding the impossible on every visit & lambasting the store management team giving them little or no confidence in their decision making.
3) Stock management is not this companies forte with delivery upon delivery & a stock control system that cannot cope or give you any realtime information.
4) Very high turnover of staff, as you are worked to the bone for very little and recognition for a job well done is hard to find, also the induction upon joining this organisation is next to non-existent.
5) Consistent audits.",1) Some friendly hardworking colleagues 2) Management do as well as they can in the constant face of adversity,1 some friendly hardworke colleague 2 management do as well as they can in the constant face of adversity,1 friendly hardworke colleague 2 management constant face adversity,friendly hardworke colleague management constant face adversity,"1) The pay is below average for the role I was in, in addition bar one or two the store management team were grossly inexperienced. 2) The senior managers demanding the impossible on every visit & lambasting the store management team giving them little or no confidence in their decision making. 3) Stock management is not this companies forte with delivery upon delivery & a stock control system that cannot cope or give you any realtime information. 4) Very high turnover of staff, as you are worked to the bone for very little and recognition for a job well done is hard to find, also the induction upon joining this organisation is next to non-existent. 5) Consistent audits.",1 the pay be below average for the role I be in in addition bar one or two the store management team be grossly inexperienced 2 the senior manager demand the impossible on every visit lambaste the store management team give they little or no confidence in their decision making 3 stock management be not this company forte with delivery upon delivery a stock control system that can not cope or give you any realtime information 4 very high turnover of staff as you be work to the bone for very little and recognition for a job well do be hard to find also the induction upon join this organisation be next to non existent 5 consistent audit,1 pay average role addition bar store management team grossly inexperienced 2 senior manager demand impossible visit lambaste store management team give little confidence decision making 3 stock management company forte delivery delivery stock control system cope realtime information 4 high turnover staff work bone little recognition job hard find induction join organisation non existent 5 consistent audit,pay average role addition bar store management team grossly inexperienced senior manager demand impossible visit lambaste store management team give little confidence decision make stock management company forte delivery delivery stock control system cope realtime information high turnover staff work bone little recognition job hard find induction join organisation non existent consistent audit,"{'management': {1: 0.016604483, 2: 0.028529195, 3: 0.23349011, 4: 0.5047858, 5: 0.21659048, 'label': 4}, 'people': {1: 0.014187354, 2: 0.023995917, 3: 0.22265053, 4: 0.516291, 5: 0.2228752, 'label': 4}}","{'management': {1: 0.018416997, 2: 0.033019297, 3: 0.2535146, 4: 0.49397516, 5: 0.20107399, 'label': 4}}","{'management': {1: 0.079598024, 2: 0.07853687, 3: 0.23776644, 4: 0.3641872, 5: 0.23991147, 'label': 4}}","{'management': {1: 0.047243986, 2: 0.053351738, 3: 0.2074904, 4: 0.40929842, 5: 0.28261542, 'label': 4}}","{'perks & benefits': {1: 0.3787802, 2: 0.42075533, 3: 0.14760567, 4: 0.04053689, 5: 0.012322006, 'label': 2}, 'hr & recruitment': {1: 0.37138852, 2: 0.42531872, 3: 0.14850765, 4: 0.042336803, 5: 0.012448362, 'label': 2}, 'job role clarity': {1: 0.3292581, 2: 0.43311474, 3: 0.17785442, 4: 0.04711873, 5: 0.012653985, 'label': 2}, 'job security': {1: 0.37607706, 2: 0.43423936, 3: 0.14503826, 4: 0.034992, 5: 0.00965327, 'label': 2}, 'management': {1: 0.41060182, 2: 0.42611626, 3: 0.12704101, 4: 0.028158983, 5: 0.008081859, 'label': 2}, 'pay': {1: 0.3986716, 2: 0.42008173, 3: 0.13839397, 4: 0.033193562, 5: 0.00965914, 'label': 2}, 'stress & pressure': {1: 0.37722042, 2: 0.4324706, 3: 0.14038122, 4: 0.037823785, 5: 0.012103925, 'label': 2}, 'teamwork & collaboration': {1: 0.36021316, 2: 0.4373053, 3: 0.15040337, 4: 0.04072527, 5: 0.011352922, 'label': 2}}","{'perks & benefits': {1: 0.570327, 2: 0.31163126, 3: 0.089257374, 4: 0.020140843, 5: 0.008643538, 'label': 1}, 'hr & recruitment': {1: 0.54809576, 2: 0.32499972, 3: 0.097385146, 4: 0.021113737, 5: 0.008405625, 'label': 1}, 'job role clarity': {1: 0.51727235, 2: 0.3309672, 3: 0.11427987, 4: 0.026855856, 5: 0.010624788, 'label': 1}, 'job security': {1: 0.5493149, 2: 0.32465982, 3: 0.097599134, 4: 0.020358678, 5: 0.008067486, 'label': 1}, 'management': {1: 0.5695209, 2: 0.31557336, 3: 0.08998878, 4: 0.017702593, 5: 0.007214329, 'label': 1}, 'pay': {1: 0.56545776, 2: 0.31453165, 3: 0.09309264, 4: 0.019051712, 5: 0.007866214, 'label': 1}, 'teamwork & collaboration': {1: 0.54082423, 2: 0.33154956, 3: 0.097605556, 4: 0.021627903, 5: 0.008392729, 'label': 1}}","{'perks & benefits': {1: 0.56724805, 2: 0.26792678, 3: 0.11083067, 4: 0.035457812, 5: 0.018536698, 'label': 1}, 'hr & recruitment': {1: 0.55234426, 2: 0.273847, 3: 0.116868906, 4: 0.03773123, 5: 0.01920857, 'label': 1}, 'job role clarity': {1: 0.5126185, 2: 0.27829367, 3: 0.1394764, 4: 0.04679382, 5: 0.02281767, 'label': 1}, 'job security': {1: 0.5809815, 2: 0.26168808, 3: 0.10821843, 4: 0.032304153, 5: 0.016807817, 'label': 1}, 'management': {1: 0.5880951, 2: 0.26504815, 3: 0.103417285, 4: 0.02860529, 5: 0.014834148, 'label': 1}, 'pay': {1: 0.59043425, 2: 0.25624296, 3: 0.10441507, 4: 0.031364247, 5: 0.017543467, 'label': 1}, 'teamwork & collaboration': {1: 0.5431269, 2: 0.28169224, 3: 0.11924915, 4: 0.037888136, 5: 0.018043615, 'label': 1}}","{'perks & benefits': {1: 0.58046967, 2: 0.2785798, 3: 0.098749675, 4: 0.027763167, 5: 0.014437727, 'label': 1}, 'hr & recruitment': {1: 0.56459224, 2: 0.2901725, 3: 0.10368963, 4: 0.027879462, 5: 0.013666097, 'label': 1}, 'job role clarity': {1: 0.52875054, 2: 0.2943683, 3: 0.12436484, 4: 0.03554458, 5: 0.01697165, 'label': 1}, 'job security': {1: 0.60332555, 2: 0.2681623, 3: 0.092557006, 4: 0.023991428, 5: 0.011963619, 'label': 1}, 'management': {1: 0.61780673, 2: 0.26545513, 3: 0.08643919, 4: 0.020336242, 5: 0.009962707, 'label': 1}, 'pay': {1: 0.611226, 2: 0.26226968, 3: 0.09182369, 4: 0.023056844, 5: 0.011623758, 'label': 1}, 'teamwork & collaboration': {1: 0.5576281, 2: 0.29002988, 3: 0.10708623, 4: 0.030541958, 5: 0.014713823, 'label': 1}}"
36722,Facebook,"good pay
good toilet, and clean","bad hours
bad people
bad life
not enough work","good pay good toilet, and clean",good pay good toilet and clean,good pay good toilet clean,good pay good toilet clean,bad hours bad people bad life not enough work,bad hour bad people bad life not enough work,bad hour bad people bad life work,bad hour bad people bad life work,"{'pay': {1: 0.00557819, 2: 0.009066277, 3: 0.11845063, 4: 0.5123563, 5: 0.3545486, 'label': 4}}","{'pay': {1: 0.0061748237, 2: 0.009934326, 3: 0.13353066, 4: 0.52228576, 5: 0.32807437, 'label': 4}}","{'pay': {1: 0.007296019, 2: 0.0116832005, 3: 0.14401683, 4: 0.5207278, 5: 0.3162762, 'label': 4}}","{'pay': {1: 0.007296019, 2: 0.0116832005, 3: 0.14401683, 4: 0.5207278, 5: 0.3162762, 'label': 4}}","{'people': {1: 0.7867916, 2: 0.17490804, 3: 0.032085255, 4: 0.003986566, 5: 0.0022284796, 'label': 1}, 'work-life balance': {1: 0.6594223, 2: 0.26149702, 3: 0.06688116, 4: 0.008606617, 5: 0.0035928923, 'label': 1}}","{'people': {1: 0.81587964, 2: 0.15279041, 3: 0.026171071, 4: 0.00321808, 5: 0.0019407978, 'label': 1}}","{'people': {1: 0.7943014, 2: 0.16431323, 3: 0.033436026, 4: 0.0048366548, 5: 0.0031126384, 'label': 1}}","{'people': {1: 0.7943014, 2: 0.16431323, 3: 0.033436026, 4: 0.0048366548, 5: 0.0031126384, 'label': 1}}"
76956,Standard Life Aberdeen,Blah blah blah blah blah ..... interesting,Can feel a bit basic.,Blah blah blah blah blah ..... interesting,blah blah blah blah blah interesting,blah blah blah blah blah interesting,blah blah blah blah blah interesting,Can feel a bit basic.,can feel a bit basic,feel bit basic,feel bit basic,{},{},{},{},{},{},{},{}
1566,Accenture,It's very people-centric and there are plenty of  career advancement and personal development opportunities,You don't represent yourself in career progression conversations,It's very people-centric and there are plenty of  career advancement and personal development opportunities,it be very people centric and there be plenty of career advancement and personal development opportunity,people centric plenty career advancement personal development opportunity,people centric plenty career advancement personal development opportunity,You don't represent yourself in career progression conversations,you do not represent yourself in career progression conversation,represent career progression conversation,represent career progression conversation,"{'growth & learning': {1: 0.011878868, 2: 0.03124378, 3: 0.22200081, 4: 0.50047743, 5: 0.23439911, 'label': 4}, 'people': {1: 0.023628097, 2: 0.06346899, 3: 0.2768823, 4: 0.43859094, 5: 0.19742973, 'label': 4}}","{'growth & learning': {1: 0.0145542165, 2: 0.032685477, 3: 0.25423923, 4: 0.49565244, 5: 0.20286867, 'label': 4}, 'people': {1: 0.025143638, 2: 0.0575761, 3: 0.30571133, 4: 0.4381151, 5: 0.17345381, 'label': 4}}","{'growth & learning': {1: 0.010118123, 2: 0.016333656, 3: 0.1751877, 4: 0.509532, 5: 0.28882852, 'label': 4}, 'people': {1: 0.016910747, 2: 0.028593345, 3: 0.22730812, 4: 0.47406948, 5: 0.25311825, 'label': 4}}","{'growth & learning': {1: 0.010118123, 2: 0.016333656, 3: 0.1751877, 4: 0.509532, 5: 0.28882852, 'label': 4}, 'people': {1: 0.016910747, 2: 0.028593345, 3: 0.22730812, 4: 0.47406948, 5: 0.25311825, 'label': 4}}","{'growth & learning': {1: 0.45774093, 2: 0.3547834, 3: 0.14693376, 4: 0.028948028, 5: 0.011593984, 'label': 1}}","{'growth & learning': {1: 0.44489953, 2: 0.34189558, 3: 0.16736281, 4: 0.03408111, 5: 0.011760974, 'label': 1}}","{'growth & learning': {1: 0.08034929, 2: 0.107606545, 3: 0.27048, 4: 0.33188784, 5: 0.2096763, 'label': 4}}","{'growth & learning': {1: 0.08034929, 2: 0.107606545, 3: 0.27048, 4: 0.33188784, 5: 0.2096763, 'label': 4}}"
22996,Cisco Systems,You work hard but you have a lot of opportunity and resource to make your mark.,"Competitive 
Expect a lot
Yearly redundancies 
Flat structure
Silos
People",You work hard but you have a lot of opportunity and resource to make your mark.,you work hard but you have a lot of opportunity and resource to make your mark,work hard lot opportunity resource mark,work hard lot opportunity resource mark,Competitive  Expect a lot Yearly redundancies  Flat structure Silos People,competitive expect a lot yearly redundancie flat structure silo people,competitive expect lot yearly redundancie flat structure silo people,competitive expect lot yearly redundancy flat structure silos people,"{'growth & learning': {1: 0.0058242325, 2: 0.017125074, 3: 0.27583516, 4: 0.5351132, 5: 0.16610235, 'label': 4}}","{'growth & learning': {1: 0.008506031, 2: 0.021576608, 3: 0.2743065, 4: 0.5229336, 5: 0.17267723, 'label': 4}}","{'growth & learning': {1: 0.009038349, 2: 0.015206711, 3: 0.17853951, 4: 0.5016614, 5: 0.295554, 'label': 4}}","{'growth & learning': {1: 0.009038349, 2: 0.015206711, 3: 0.17853951, 4: 0.5016614, 5: 0.295554, 'label': 4}}","{'management': {1: 0.34047723, 2: 0.35390216, 3: 0.22159868, 4: 0.063348025, 5: 0.020673959, 'label': 2}, 'people': {1: 0.33560365, 2: 0.34572372, 3: 0.22418757, 4: 0.07000413, 5: 0.024480922, 'label': 2}}","{'management': {1: 0.36961952, 2: 0.3483716, 3: 0.20726965, 4: 0.055891316, 5: 0.018847914, 'label': 1}, 'people': {1: 0.36966914, 2: 0.3420437, 3: 0.20592648, 4: 0.060415525, 5: 0.021945173, 'label': 1}}","{'management': {1: 0.40668127, 2: 0.33514377, 3: 0.18524462, 4: 0.05250955, 5: 0.020420775, 'label': 1}, 'people': {1: 0.40819064, 2: 0.32558233, 3: 0.18535024, 4: 0.056955412, 5: 0.02392139, 'label': 1}}","{'job security': {1: 0.27743146, 2: 0.32842493, 3: 0.2638791, 4: 0.096586086, 5: 0.033678453, 'label': 2}, 'management': {1: 0.34852976, 2: 0.3414228, 3: 0.21871802, 4: 0.067385025, 5: 0.023944443, 'label': 1}, 'people': {1: 0.35104537, 2: 0.33106422, 3: 0.21865997, 4: 0.07177324, 5: 0.027457189, 'label': 1}}"
